iter	Passed	Remaining
527	15668	14006
528	15695	13974
529	15733	13952
530	15772	13931
531	15798	13898
532	15826	13866
533	15851	13833
534	15878	13800
535	15903	13766
536	15929	13734
537	15954	13700
538	15983	13670
539	16010	13638
540	16037	13606
541	16063	13574
542	16089	13541
543	16115	13508
544	16140	13474
545	16166	13442
546	16194	13411
547	16236	13392
548	16262	13359
549	16290	13328
550	16316	13296
551	16345	13266
552	16371	13233
553	16401	13203
554	16428	13172
555	16455	13140
556	16483	13110
557	16509	13077
558	16536	13046
559	16562	13013
560	16589	12982
561	16619	12952
562	16646	12921
563	16671	12888
564	16699	12857
565	16725	12824
566	16757	12797
567	16784	12765
568	16811	12734
569	16838	12702
570	16864	12670
571	16891	12639
572	16915	12605
573	16958	12585
574	16985	12554
575	17010	12521
576	17052	12501
577	17077	12468
578	17109	12440
579	17135	12408
580	17176	12387
581	17201	12354
582	17228	12322
583	17253	12290
584	17281	12259
585	17309	12228
586	17351	12208
587	17377	12175
588	17409	12148
589	17435	12116
590	17463	12085
591	17490	12054
592	17518	12023
593	17543	11990
594	17570	11959
595	17599	11930
596	17628	11900
597	17654	11868
598	17681	11836
599	17708	11805
600	17735	11774
601	17762	11743
602	17790	11712
603	17820	11683
604	17856	11658
605	17883	11627
606	17910	11596
607	17937	11564
608	17963	11533
609	17991	11502
610	18018	11471
611	18044	11439
612	18070	11408
613	18108	11384
614	18134	11352
615	18161	11321
616	18189	11290
617	18217	11260
618	18242	11228
619	18269	11197
620	18297	11166
621	18324	11136
622	18356	11108
623	18399	11086
624	18424	11054
625	18453	11024
626	18482	10995
627	18509	10964
628	18535	10932
629	18561	10901
630	18588	10870
631	18614	10838
632	18642	10808
633	18701	10795
634	18728	10765
635	18753	10733
636	18793	10709
637	18820	10678
638	18847	10647
639	18875	10617
640	18903	10587
641	18930	10556
642	18957	10525
643	18984	10494
644	19013	10464
645	19039	10433
646	19067	10403
647	19093	10371
648	19136	10349
649	19164	10319
650	19192	10289
651	19221	10259
652	19251	10230
653	19300	10211
654	19328	10180
655	19368	10156
656	19394	10125
657	19421	10094
658	19449	10064
659	19476	10033
660	19503	10002
661	19529	9971
662	19560	9942
663	19591	9913
664	19618	9882
665	19645	9852
666	19674	9822
667	19700	9791
668	19726	9760
669	19752	9728
670	19780	9698
671	19805	9666
672	19831	9636
673	19858	9604
674	19883	9573
